month_start,total_liquidity_usd,fees_usd,price_usd,proposal_count
2023-06-01,199533776.25,1603025.0,5.747,26
2023-07-01,200108491.2,1506907.0,6.204193548387097,9
2023-08-01,193142509.25,1822887.0,6.128053394871624,15
2023-09-01,154404636.5,1228716.0,5.452869486822321,8
2023-10-01,161235498.0,1267531.0,5.5972727046379624,3
2023-11-01,181144201.75,2158804.0,6.911666666666666,8
2023-12-01,219180971.0,2015587.0,8.629032258064516,14
2024-01-01,218237577.6,2149285.0,9.067786324575525,10
2024-02-01,223700252.0,2822407.0,9.122187970117185,9
2024-03-01,210002906.25,3264292.0,8.208064516129033,6
2024-04-01,152049903.8,2894885.0,5.667517347552553,13
2024-05-01,123349398.25,2519921.0,4.382377677655399,6
2024-06-01,112977315.25,2211793.0,3.858408162661594,8
2024-07-01,72185953.2,1798569.0,2.4596447086583164,19
2024-08-01,54586097.5,1976669.0,1.998599837909837,12
2024-09-01,42378987.0,1388723.0,1.9236666666666666,10
2024-10-01,43607647.5,1605485.0,2.013225806451613,7
2024-11-01,46629788.0,1798777.0,2.319,1
2024-12-01,66317884.2,2159301.0,3.6748387096774193,8
2025-01-01,45713742.5,2165038.0,3.184193548387097,2
2025-02-01,23840434.0,1239500.0,1.8017857142857143,1
2025-03-01,20097770.4,997656.0,1.8103225806451613,3
2025-04-01,17777858.5,876555.0,1.9193333333333333,1
2025-05-01,20594083.25,1054854.0,2.9174193548387097,1
2025-06-01,15604016.2,917810.0,2.556,1
2025-07-01,14833940.0,1327710.0,2.73,2
2025-08-01,13511607.25,1247466.0,2.826593566071667,0
2025-09-01,15888522.6,1088237.0,2.6206666666666667,3
2025-10-01,18254229.5,819435.0,1.8667061329983319,1
